numar angajati,capital social,an infiintare,numar produse,domeniu de activitate,tara,clienti,parteneri,venit
109.0,233197.92010653243,1978.0,18.0,Retail,Spania,533.8480947476828,14.0,745930.6272703115
97.0,79704.42986310871,2014.0,43.0,IT,Spania,533.8480947476828,10.188308329022245,1262831.154637065
112.0,206969.2402862657,1978.0,51.0,Agricultura,Romania,73.0,14.0,429587.6961145064
130.0,99949.14445609169,1995.0,14.0,Agricultura,Franta,673.0,5.0,843933.5551171679
95.0,413705.84450415,1973.0,43.0,Agricultura,Spania,861.0,9.0,865350.5715818262
95.0,476459.6116840118,1986.0,34.0,Retail,Germania,534.0,8.0,1406546.0738145695
131.0,82542.41386607237,1985.0,19.0,IT,Franta,105.0,2.0,1031103.8535194206
115.0,479801.8432812656,1984.0,1.0,Educatie,Germania,272.0,16.0,980155.1612671972
90.0,285159.4697015353,2004.0,47.0,Agricultura,Spania,681.0,13.0,692630.1666686756
110.0,184804.5550792433,2021.0,68.0,Agricultura,Germania,228.0,7.0,569298.3686412064
90.0,84587.93387427359,1974.0,23.0,Educatie,Spania,849.0,16.0,795756.0272677656
100.40596094552929,275280.92063168803,1974.0,50.11865284974093,IT,Romania,483.0,7.0,1060710.690473766
104.0,407531.9950208369,1989.0,88.0,Agricultura,Franta,986.0,14.0,1101116.6374108351
61.0,368188.9147700142,1984.0,28.0,IT,Germania,499.0,14.0,1410348.3605085148
65.0,72601.70515878819,1987.0,23.0,Agricultura,Romania,842.0,12.0,561840.6820635153
88.0,82805.82591555658,2016.0,85.0,Financiar,Italia,933.0,1.0,1219768.544214134
79.0,231292.9771846867,1971.0,81.0,Agricultura,Germania,541.0,1.0,759524.0672234246
106.0,182880.7223215745,1998.0,45.0,Financiar,Spania,238.0,12.0,811439.7164599259
81.0,154572.94537522152,1982.0,49.0,IT,Germania,627.0,15.0,1452751.5926439825
71.0,176452.02450892114,1973.0,22.0,Agricultura,Italia,859.0,4.0,755256.9717642822
129.0,411567.2344835981,2011.0,8.0,Retail,Germania,469.0,7.0,1425116.4769662225
95.0,468152.6241343343,2014.0,57.0,Retail,Romania,298.0,16.0,834091.5744806005
101.0,232296.21253740488,1979.0,10.0,Educatie,Germania,637.0,3.0,991176.613898565
71.0,457749.9509596237,2000.0,45.0,Retail,Franta,698.0,7.0,1283684.9617485064
89.0,194673.0655615469,2010.0,94.0,Financiar,Italia,213.0,6.0,767264.9911380067
